البطولة,الفريق الأول,الفريق الثاني,النتيجة,الوقت,رابط المباراة
الدوري الفرنسي,ميتز,لوهافر,0 - 0,18:15,https://www.yallakora.com/ligue1/2979/match/104082/%d9%85%d9%8a%d8%aa%d8%b2-%d9%84%d9%88%d9%87%d8%a7%d9%81%d8%b1-%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d9%81%d8%b1%d9%86%d8%b3%d9%8a#MC_MatcheDetails
الدوري الفرنسي,أنجيه,بريست,0 - 2,18:15,https://www.yallakora.com/ligue1/2979/match/104087/%d8%a3%d9%86%d8%ac%d9%8a%d9%87-%d8%a8%d8%b1%d9%8a%d8%b3%d8%aa-%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d9%81%d8%b1%d9%86%d8%b3%d9%8a#MC_MatcheDetails
الدوري الفرنسي,ليل,ليون,0 - 1,18:15,https://www.yallakora.com/ligue1/2979/match/104089/%d9%84%d9%8a%d9%84-%d9%84%d9%8a%d9%88%d9%86-%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d9%81%d8%b1%d9%86%d8%b3%d9%8a#MC_MatcheDetails
الدوري الفرنسي,رين,لانس,- - -,21:45,https://www.yallakora.com/ligue1/2979/match/104083/%d8%b1%d9%8a%d9%86-%d9%84%d8%a7%d9%86%d8%b3-%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d9%81%d8%b1%d9%86%d8%b3%d9%8a#MC_MatcheDetails
الدوري الألماني,فرايبورج,هوفنهايم,1 - 1,16:30,https://www.yallakora.com/bundesliga/2980/match/103790/%d9%81%d8%b1%d8%a7%d9%8a%d8%a8%d9%88%d8%b1%d8%ac-%d9%87%d9%88%d9%81%d9%86%d9%87%d8%a7%d9%8a%d9%85-%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d8%a3%d9%84%d9%85%d8%a7%d9%86%d9%8a#MC_MatcheDetails
الدوري الألماني,كولن,شتوتجارت,1 - 1,18:30,https://www.yallakora.com/bundesliga/2980/match/103791/%d9%83%d9%88%d9%84%d9%86-%d8%b4%d8%aa%d9%88%d8%aa%d8%ac%d8%a7%d8%b1%d8%aa-%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d8%a3%d9%84%d9%85%d8%a7%d9%86%d9%8a#MC_MatcheDetails
الدوري الألماني,يونيون برلين,هامبورج,- - -,20:30,https://www.yallakora.com/bundesliga/2980/match/103796/%d9%8a%d9%88%d9%86%d9%8a%d9%88%d9%86-%d8%a8%d8%b1%d9%84%d9%8a%d9%86-%d9%87%d8%a7%d9%85%d8%a8%d9%88%d8%b1%d8%ac-%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d8%a3%d9%84%d9%85%d8%a7%d9%86%d9%8a#MC_MatcheDetails
بطولة العالم للكرة الطائرة للرجال,التشيك,بولندا,1 - 3,09:30,https://www.yallakora.com/fivb-mens-volleyball-world-championship/3013/match/106062/%d8%a7%d9%84%d8%aa%d8%b4%d9%8a%d9%83-%d8%a8%d9%88%d9%84%d9%86%d8%af%d8%a7-%d8%a8%d8%b7%d9%88%d9%84%d8%a9-%d8%a7%d9%84%d8%b9%d8%a7%d9%84%d9%85-%d9%84%d9%84%d9%83%d8%b1%d8%a9-%d8%a7%d9%84%d8%b7%d8%a7%d8%a6%d8%b1%d8%a9-%d9%84%d9%84%d8%b1%d8%ac%d8%a7%d9%84#MC_MatcheDetails
بطولة العالم للكرة الطائرة للرجال,بلغاريا,إيطاليا,1 - 3,13:30,https://www.yallakora.com/fivb-mens-volleyball-world-championship/3013/match/106063/%d8%a8%d9%84%d8%ba%d8%a7%d8%b1%d9%8a%d8%a7-%d8%a5%d9%8a%d8%b7%d8%a7%d9%84%d9%8a%d8%a7-%d8%a8%d8%b7%d9%88%d9%84%d8%a9-%d8%a7%d9%84%d8%b9%d8%a7%d9%84%d9%85-%d9%84%d9%84%d9%83%d8%b1%d8%a9-%d8%a7%d9%84%d8%b7%d8%a7%d8%a6%d8%b1%d8%a9-%d9%84%d9%84%d8%b1%d8%ac%d8%a7%d9%84#MC_MatcheDetails
الدوري التركي,قونيا سبور,إسطنبول باشاكشهير,2 - 1,17:00,https://www.yallakora.com/turkish-super-lig/2994/match/104512/%d9%82%d9%88%d9%86%d9%8a%d8%a7-%d8%b3%d8%a8%d9%88%d8%b1-%d8%a5%d8%b3%d8%b7%d9%86%d8%a8%d9%88%d9%84-%d8%a8%d8%a7%d8%b4%d8%a7%d9%83%d8%b4%d9%87%d9%8a%d8%b1-%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d8%aa%d8%b1%d9%83%d9%8a#MC_MatcheDetails
